1657398003;Animal_status;RER;peso;MER;porc_calorias;porc_proteinas;porc_grasas;porc_carbohidratos
1657398003;canino: Critical care/hospitalized;1;;;18;0.005;0.005;0.015
1657398003;canino: Weight loss/obese;1;;;18;0.005;0.005;0.015
1657398003;canino: Overweight-prone/inactive;1.3;;;18;0.005;0.005;0.015
1657398003;canino: Neutered adult;1.6;;;18;0.005;0.005;0.015
1657398003;canino: Intact adult;1.8;;;18;0.005;0.005;0.015
1657398003;canino: Gestation 1 mes;1.6;;;18;0.005;0.005;0.015
1657398003;canino: Lactation 1 mes;3;;;18;0.005;0.005;0.015
1657398003;canino: Growth (puppies/kittens) 1 mes;2;;;18;0.005;0.005;0.015
1657398003;canino: Gestation 2  mes;1.8;;;18;0.005;0.005;0.015
1657398003;canino: Lactation 2 mes;4;;;18;0.005;0.005;0.015
1657398003;canino: Growth (puppies/kittens) 2 mes;2.5;;;18;0.005;0.005;0.015
1657398003;canino: Gestation 3 mes;3;;;18;0.005;0.005;0.015
1657398003;canino: Lactation 3 mes;5;;;18;0.005;0.005;0.015
1657398003;canino: Growth (puppies/kittens) 3 mes;3;;;18;0.005;0.005;0.015
1657398003;felino: Critical care/hospitalized;1;;;18;0.005;0.005;0.015
1657398003;felino: Weight loss/obese;0.9;;;18;0.005;0.005;0.015
1657398003;felino: Overweight-prone/inactive;1;;;18;0.005;0.005;0.015
1657398003;felino: Neutered adult;1.2;;;18;0.005;0.005;0.015
1657398003;felino: Intact adult;1.4;;;18;0.005;0.005;0.015
1657398003;felino: Gestation;2.5;;;18;0.005;0.005;0.015
1657398003;felino: Lactation;4;;;18;0.005;0.005;0.015
1657398003;felino: Growth (puppies/kittens);2.5;;;18;0.005;0.005;0.015
1657398003;cunicula:;;6;0;;0.005;0.005;0.015
1657398003;cunicula:;;6;0;18;0.005;0.005;0.015
1657398003;avicola;;3;0;18;0.005;0.005;0.015
1657398003;avicola;;3;0;18;0.005;0.005;0.015
1657398003;burricola;;3;0;18;0.005;0.005;0.015
1657398003;burricola;;3;0;18;0.005;0.005;0.015
1657398003;reptil;;3;0;18;0.005;0.005;0.015
1657398003;roedor;;3;0;18;0.005;0.005;0.015
1657398003;roedor;;3;0;18;0.005;0.005;0.015
1657398003;roedor;;3;0;18;0.005;0.005;0.015
1657398003;roedor;;3;0;18;0.005;0.005;0.015
1657398003;cunicula: sendentario;1;6;2.683561038;18;0.005;0.005;0.015
1657398003;cunicula: sendentario;1;6;2.683561038;18;0.005;0.005;0.015
